Spanish,English
pasar,pass
primero,first
significa,means
semana,week
hacia,toward
quizás,maybe
espero,wait
juntos,together
año,year
niños,children
pronto,soon
tío,uncle
suerte,luck
ciudad,city
siquiera,even
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,leave
realidad,reality
deja,leaves
problemas,issues
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,boss
agua,water
haré,I will do
justo,fair
horas,hours
poder,can
buenos,good
esposa,wife
manos,hands
debes,you must
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,forward
encontrar,find
mano,hand
cinco,five
niño,child
ninguna,none
otros,others
cara,expensive
cuidado,careful
bajo,low
cerca,near
viejo,old
déjame,let me
noches,nights
bastante,quite
fin,end
tomar,take
único,only
misma,same
escucha,listen
ningún,none
suficiente,enough
punto,spot
cuándo,when
sigue,go on
haya,is
equipo,equipment
grande,big
necesita,needs
llegar,arrive
incluso,even
algunos,some
doctor,doctor
difícil,difficult
aunque,although
hubiera,had
primer,first
coche,car
hago,do
clase,class
cuatro,four
mas,further
dices,you say
pequeño,little
llama,calls
toma,take
hiciste,did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,can
igual,equal
loco,crazy
sangre,blood
mujeres,women
vuelta,lap
fui,I was
trabajar,work
tenido,had
juego,game
deberías,you should
cuerpo,body
e,and
algunas,some
entrar,get in
cree,believe
podía,could
debemos,must
oportunidad,chance
teléfono,phone
necesitamos,need
final,final
listo,ready
fiesta,party
muchos,many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,blame
abajo,below
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,ask
chicas,girls
eran,were
unas,nails
pasando,going
atrás,back
malo,bad
capitán,captain
sra.,mrs
bebé,baby
segundo,second
sabemos,we know
mayor,elderly
comida,meal
morir,die
conozco,know
dame,give to me
fácil,easy
comer,eat
vino,came
lista,list
haga,make
necesitas,you need
hijos,children
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
trata,treats
buscando,searching
tuve,I had
tampoco,neither
amo,love
joven,young
podrías,could you
sola,alone
par,pair
única,only
hacen,do
seguir,continue
dr.,Dr.
simplemente,simply
dicen,they say
medio,half
puta,bitch
saben,they know
sentido,sense
hagas,you do
segura,safe
esperar,wait
lejos,far
arma,weapon
alto,high
pequeña,small
dólares,Dollars
seis,six
estaban,were
seguridad,security
maldita,damned
estuvo,was
preocupes,worry
palabra,word
esperando,expecting
queda,is left over
oficina,office
matar,kill
iré,I will go
cama,bed
además,besides
último,last
oído,ear
habría,there would be
estará,will be
dio,gave
recuerdo,memory
siendo,being
acerca,about
tenga,have
luz,light
correcto,correct
ud.,You.
demonios,demons
nuestras,our
verte,to see you
dormir,sleep
sitio,place
ayudar,help
conseguir,get
di,gave
marido,husband
paz,peace
idiota,moron
plan,plan
dado,given
cuanto,how much
peor,worse
murió,died
pueblo,town
vivo,alive
venido,I come
john,john
basta,Enough
paso,passed
deberíamos,we should
música,music
diga,say
minuto,minute
anoche,last night
llamar,call
piensa,think
país,country
digas,you say
rey,king
perdón,sorry
mucha,a lot
falta,lack
pienso,I think
diablos,Devils
perdido,lost
niña,little girl
señorita,Miss
diez,ten
lleva,carry
hospital,hospital
grandes,big
maldito,damned
otras,others
llamado,called
hacemos,we make
llevar,carry
fuego,fire
aqui,here
tuvo,had
poner,put
calle,street
acaba,just
prueba,proof
increíble,incredible
real,real
libro,book
orden,order
semanas,weeks
especial,special
mía,mine
café,coffee
duro,hard
empezar,begin
afuera,outside
queremos,we want
perro,dog
cielo,darling
jack,Jack
puesto,position
viaje,journey
detrás,behind
cuarto,room
querida,Dear
haría,would do
preguntas,questions
piensas,you think
querido,darling
libre,free
buscar,look for
cual,which
diré,I will say
suena,sounds
jugar,play
cambio,change
película,movie
millones,millions
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,strange
mala,bad
presidente,president
srta.,Ms.
irme,leave
ropa,clothes
perder,lose
vuelve,comes back
agente,agent
palabras,words
información,information
raro,queer
hará,will do
entiendes,you understand
éste,this
trabajando,working
tratando,treating
general,general
trato,deal
usar,wear
perfecto,perfect
derecho,right
modo,mode
ayer,yesterday
conoces,you know
demás,the rest
quieras,you want
podríamos,we could
noticias,news
asesino,killer
encontrado,found
control,control
odio,hate
frente,forehead
sexo,sex
decirle,tell
estaré,I will be
divertido,fun
armas,weapons
recuerdas,remember
amiga,friend
grupo,cluster
asunto,affair
acabo,just
mensaje,message
encima,on
atención,attention
diferente,different
uh,uh
cállate,be quiet
daño,damage
sucede,happens
cambiar,change
siguiente,following
sino,but
the,the
seas,be
médico,doctor
boca,mouth
dejó,let
error,mistake
jamás,never
largo,long
pena,grief
voz,voice
futuro,future
siente,feel
secreto,secret
baño,bathroom
mil,thousand
decirte,tell you
sam,sam
pensaba,thought
novia,bride
propia,own
sueño,dream
haz,beam
fuerza,force
deben,they must
supone,supposes
estábamos,we were
ambos,both
ay,Oh
estuve,I have been
encontré,I found
vuelto,turned
dolor,pain
dile,tell him
encanta,loves
edad,age
darle,give him
pie,foot
negro,black
ganar,gain
york,york
aire,air
lamento,lament
verlo,see him
asesinato,murder
vio,saw
adónde,where to
llegado,arrived
disculpe,excuse me
s,yes
cita,appointment
estaría,It would
fuiste,you were
sistema,system
gusto,taste
pobre,poor
negocio,business
mente,mind
tuyo,yours
campo,field
mire,Look
situación,situation
tras,after
hotel,hotel
vosotros,you
funciona,works
foto,photo
abogado,lawyer
loca,crazy
propio,own
alrededor,around
próxima,next
terminado,finished
hablas,speak
pagar,pay
mató,killed
llamo,called
personal,staff
sientes,you feel
ocurre,occurs
ésta,this
recuerda,remember
mitad,half
quiera,want
pelo,hair
tenías,you had
viste,dresses
oficial,official
llegó,arrive
compañía,company
relación,relationship
conoce,known
pase,happens
montón,lot
mejores,top
creí,I believed
cena,dinner
sentir,feel
través,through
accidente,accident
i,Yo
ellas,they
caja,box
tranquilo,don't worry
bonito,pretty
eras,ages
asi,So
pudo,could
vive,lives
vista,view
estúpido,idiot
línea,line
caballeros,gentlemen
haremos,will
dan,give
quédate,stay
tienda,store
comprar,buy
entendido,understood
centro,center
salvo,except
mes,month
joe,Joe
sol,sun
tonto,silly
hambre,hunger
michael,Michael
mesa,table
respuesta,answer
completamente,completely
david,David
carta,letter
totalmente,completely
imposible,impossible
pruebas,evidence
novio,boyfriend
normal,normal
gustan,they like
frank,frank
pude,could
charlie,Charlie
traje,suit
dirección,address
siete,seven
dijeron,they said
placer,pleasure
sean,be
tendrá,will have
barco,ship
blanco,white
tom,Tom
profesor,teacher
servicio,service
muchacho,young guy
reunión,meeting
dejado,left
ley,law
quisiera,I'd like
hubo,was
george,george
programa,program
carrera,career
cumpleaños,birthday
muchachos,boys
culo,ass
canción,song
hermosa,beautiful
universidad,university
boda,wedding
decirme,tell me
cualquiera,any
tengas,have
hacía,toward
estés,you are
sala,hall
llevo,he took
decisión,decision
espere,wait
don,Don
necesario,necessary
sal,salt
entra,enters
prisa,hurry
carajo,fuck
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,hear
abuela,grandmother
hicieron,they made
detective,detective
horrible,awful
suelo,floor
fotos,photos
cárcel,jail
acá,here
io,io
mike,mike
siéntate,Sit down
decía,He said
intentando,trying
vámonos,let's go
maldición,curse
silencio,silence
muerta,dead
capaz,able
salió,he left
club,club
terminar,finish
temo,I fear
broma,joke
gobierno,government
prometo,I promise
cámara,camera
media,half
terrible,terrible
llamó,called
regalo,gift
amable,gentle
dulce,sweet
muertos,dead
querías,you wanted
ataque,stroke
das,you give
navidad,Christmas
negocios,business
pudiera,could
ocho,eight
avión,plane
investigación,investigation
acabó,just
juro,I swear
mantener,keep
ejército,army
papel,paper
partes,parts
ten,have
gracioso,funny
diría,would say
principio,principle
delante,in front of
teniente,lieutenant
deseo,desire
vayas,go
nave,ship
sale,comes out
basura,trash
vine,came
contacto,contact
esposo,husband
tren,train
encontramos,we find
dale,Go ahead
verdadero,TRUE
tuya,yours
alma,soul
hazlo,do it
disculpa,sorry
junto,together
anda,go
tendré,I will have
matrimonio,marriage
saberlo,know it
locura,craziness
oro,gold
permiso,permission
director,director
peligro,danger
libertad,freedom
alegro,glad
baja,low
tendremos,we will have
derecha,right
encuentra,finds
pies,feet
segunda,second
maravilloso,marvelous
espacio,space
rato,a while
abuelo,grandfather
esperaba,I expected
mirando,looking
salud,health
sorpresa,surprise
ninguno,none
miren,look
triste,sad
aun,still
pensado,thought-out
maestro,teacher
según,according to
infierno,hell
podrían,could
tipos,guys
tía,aunt
crimen,crime
conocido,acquaintance
consejo,advice
ante,in view of
